,model,params,score
0,random_forest_classifier,"('gini', 'sqrt', 17)",0.6363636363636364
1,random_forest_classifier,"('gini', 'sqrt', 47)",0.6363636363636364
2,random_forest_classifier,"('entropy', 'sqrt', 21)",0.6363636363636364
3,svm_classifier,"(0.0001, 0.12742749857031335, 'rbf')",0.6363636363636364
4,random_forest_classifier,"('gini', 'sqrt', 19)",0.5909090909090909
5,random_forest_classifier,"('entropy', 'sqrt', 53)",0.5909090909090909
6,random_forest_classifier,"('entropy', 'sqrt', 51)",0.5909090909090909
7,svm_classifier,"(0.06951927961775606, 0.04281332398719394, 'linear')",0.5909090909090909
8,svm_classifier,"(0.1, 0.04281332398719394, 'linear')",0.5909090909090909
9,random_forest_classifier,"('gini', 'sqrt', 5)",0.5909090909090909
10,random_forest_classifier,"('entropy', 'sqrt', 39)",0.5909090909090909
11,logistic_regression,"('l1', 'liblinear', 0.8858667904100823)",0.5909090909090909
12,logistic_regression,"('l1', 'liblinear', 1.438449888287663)",0.5909090909090909
13,random_forest_classifier,"('gini', 'sqrt', 9)",0.5909090909090909
14,random_forest_classifier,"('gini', 'sqrt', 21)",0.5909090909090909
15,random_forest_classifier,"('entropy', 'sqrt', 35)",0.5909090909090909
16,svm_classifier,"(0.0001, 0.04281332398719394, 'linear')",0.5909090909090909
17,random_forest_classifier,"('gini', 'sqrt', 25)",0.5909090909090909
18,random_forest_classifier,"('gini', 'sqrt', 55)",0.5909090909090909
19,random_forest_classifier,"('gini', None, 43)",0.5909090909090909
20,XGBoost_classifier,"(2, 1000, 0.05)",0.5909090909090909
21,XGBoost_classifier,"(2, 1000, 0.1)",0.5909090909090909
22,XGBoost_classifier,"(2, 500, 0.05)",0.5909090909090909
23,random_forest_classifier,"('gini', 'log2', 43)",0.5909090909090909
24,random_forest_classifier,"('entropy', 'sqrt', None)",0.5909090909090909
25,svm_classifier,"(0.0001438449888287663, 0.04281332398719394, 'linear')",0.5909090909090909
26,svm_classifier,"(0.04832930238571752, 0.04281332398719394, 'linear')",0.5909090909090909
27,svm_classifier,"(0.00020691380811147902, 0.04281332398719394, 'linear')",0.5909090909090909
28,random_forest_classifier,"('entropy', None, 31)",0.5909090909090909
29,svm_classifier,"(0.0008858667904100823, 0.04281332398719394, 'linear')",0.5909090909090909
30,svm_classifier,"(0.03359818286283781, 0.04281332398719394, 'linear')",0.5909090909090909
31,svm_classifier,"(0.0012742749857031334, 0.04281332398719394, 'linear')",0.5909090909090909
32,svm_classifier,"(0.0006158482110660267, 0.04281332398719394, 'linear')",0.5909090909090909
33,svm_classifier,"(0.0018329807108324356, 0.04281332398719394, 'linear')",0.5909090909090909
34,svm_classifier,"(0.00042813323987193956, 0.04281332398719394, 'linear')",0.5909090909090909
